PNC;Invoice No;Invoice date;pos;Art Descr;Quantity;Unit;Price;Value;Origin;Net weight;Article Code;TaricNo
575 27 00-03;4647569;15.12.2020;228;GASKET KIT;10,00;ST;3,62;36,20;SE;0,20;;40169300
575 35 87-01;4647569;15.12.2020;229;TRANSMISSION;2,00;ST;63,33;126,66;FR;13,30;;84834090
576 24 39-01;4647569;15.12.2020;230;BEARING;30,00;ST;3,60;108,00;US;1,62;;84828000
577 27 66-02;4647569;15.12.2020;231;CABLE TWINCONTROL VARIABLE SPE;3,00;ST;9,61;28,83;PL;0,54;;73121020
577 66 70-01;4647569;15.12.2020;232;OIL TANK;3,00;ST;5,02;15,06;CN;0,25;;84679900
577 95 83-01;4647569;15.12.2020;233;PISTON RING;5,00;ST;2,87;14,35;DE;0,03;;84099100
578 18 51-01;4647569;15.12.2020;234;WASHER;5,00;ST;2,59;12,95;US;0,21;;84679100
578 25 71-01;4647569;15.12.2020;235;CLUTCH DRUM ASSY;10,00;ST;5,38;53,80;SE;0,70;;84679100
580 31 75-01;4647569;15.12.2020;236;WIRE;5,00;ST;6,52;32,60;FR;0,80;;73129000
580 63 01-01;4647569;15.12.2020;237;TIRE;4,00;ST;22,45;89,80;PL;16,99;;40119000
580 65 35-02;4647569;15.12.2020;238;CLUTCH SPRING;10,00;ST;1,04;10,40;SE;0,07;;73202085
580 85 40-01;4647569;15.12.2020;239;HOSE;10,00;ST;2,72;27,20;CN;0,30;;40091100
